star-ID,HIP,alt. ID,class,ev. s.,orbit,Porb,e_Porb,ecc,e_ecc,K1,e_K1,f(m),e_f(m),inc,e_inc,alpha,e_alpha,a,e_a,ref (orbit),Teff,e_Teff,logg,e_logg,[Fe/H],e_[Fe/H],[C/Fe],lg (C/O),[ls/Fe],[hs/Fe],[Ba/Fe],[Ba/Eu],ref (atm.),L,e_L,M,e_M,Mc,e_Mc,"ref(L,M)",plx,e_plx,ref_plx,G
default = HD,,,,,,d,d,,,km/s,km/s,Msun,Msun,deg,deg,mas,mas,AU,AU,,K,K,cgs,cgs,,,,,,,,,,Lsun,Lsun,Msun,Msun,Msun,Msun,,mas,mas,,mag
89948,50805,CD -28 8124,sgCH,d,SB,673,3,0.12,0.03,9.9,0.2,0.065,0.005,,,,,,,E19,6000,400,4,0.3,-0.13,0.05,0.46,,0.73,0.67,0.86,,LB91,1.36,0.07,0.95,0.08,,,E19,24.85,0.25,,7.37
91208,51533,BD -16 3075,Ba 1,g,ASB,1770,3,0.178,0.018,5.1,0.1,0.0224,0.0016,133.6,2.3,,,4.19,0.36,"ER23, U98a",5093,67,2.9,0.3,0.05,0.14,,,0.78,0.83,,,"Ca16, J19",39,3.6,2.3,0.15,0.83,0.14,"J19, ER23",3.965,0.069,,7.812
92626,52271,CD -47 6099,Ba 5,g,ASB,921.7,1.7,0.014,0.014,7.64,0.09,0.0425,0.0015,85,9,,,3,0.5,"ER23, U98b",4800,100,2.3,,-0.15,0.22,,,1.1,2.12,,,Ca16,214,44,3.1,0.5,0.9,0.27,"J19, ER23",2.872,0.109,,6.772
95193,53717,BD -13 3265,Ba 1,g,ASB,1652,5,0.13,0.02,5.4,0.1,0.0259,0.0014,81,25,,,4.12,0.15,"ER23, U98a",5008,22,2.8,0.1,0.04,0.12,,,0.5,0.43,,,"Ca16, J19",69,10,2.7,0.1,0.71,0.09,"J19, ER23",2.765,0.072,,8.046
95241,53791,HR 4285,?dBa,d,ASB,5344,55,0.807,0.004,4.5,0.2,0.0091,0.0013,108,2,,,7.4,1.5,"ER23, E19",5837,50,3.6,0.2,-0.37,0.07,,,0.15,,0.23,,"Ed93, E19",7.8,0.8,1.5,0.8,0.34,0.12,"E19, ER23",21.421,0.05,,5.876
98839,55560,56 UMa (HR 4392),Ba 0.5,g,SB,16471,113,0.56,0.005,3.86,0.03,0.056,0.002,,,,,,,J19,4917,34,2.3,0.6,-0.05,,,,0.14,0.33,,,J19,332,60,4.3,0.2,,,J19,5.881,0.093,,4.726
98991,55598,lam Crt (HR 4395),dBa,d,ASB,2849,3,0.323,0.004,4.7,0.08,0.0259,0.0007,124.9,0.7,,,4.96,0.34,"ER23, E19",6388,50,2.7,0.4,-0.44,0.08,,,,,0.58,,"E19, Ed93",14.7,1,1.45,0.08,0.57,0.08,"E19, ER23",22.04,0.17,,4.96
100503,56404,CD -30 9311,Ba 5,g,SB,554.4,1.9,0.06,0.045,5.8,0.2,0.0112,0.0014,,,,,,,U98a,4000,50,2,0.5,-0.72,0.13,0.29,-0.03,1.09,1.71,1.4,0.2,Ka18,,,,,,,,0.936,0.035,,8.231
101013,56731,HR 4474,Ba 5,g,SB,1711,4,0.195,0.013,6.07,0.08,0.0374,0.0014,,,,,,,MW90,4722,32,2.3,0.2,-0.4,,,,1.07,1.17,,,J19,108,32,1.7,0.3,,,J19,6.32,0.13,,5.89
101079,,BD -00 2462,Ba 1,g,SB,1565.8,1.7,0.175,0.005,2.48,0.02,0.00236,0.00005,,,,,,,J19,,,,,,,,,,,,,,,,,,,,,2.43,0.07,,7.954
