                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r23.05.1"          1.9986325976443591E+000          1.5989060781154874E+000          2.7645235194116240E+003                       "gfortran"                         "10.2.0"            "x86_64-linux-21.4.1"                       "20260329" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index                       Omega_star                        Omega_orb 
                              20          7.2366834183872891E+002          2.7652002069478817E+003          1.2703283240339090E+003          1.0330446019390349E+001          1.2911769823551960E+001          5.0606210124495618E+002          4.5703972873905792E+002         -4.0977971058576013E-001         -1.0000000000000000E+000          1.9984332927836401E+000          1.5989060784522762E+000         -2.0864354017117602E+001         -7.8076046694340082E+000         -2.0889930278352729E+001         -9.8999999999999986E+001         -2.2107026642324485E+001         -7.8076046694340455E+000         -9.8999999999999986E+001          1.0000000000000000E+000          8.2732165313850204E-014          3.6278775833775663E+053          1.0497668039233230E+040          0.0000000000000000E+000         -4.2235744268074995E+025         -3.9818539327371137E+037          1.0537486578560644E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.5222088293039265E-008          2.6299018777630613E-008 
                              21          7.4969519861905746E+002          2.7653993934298092E+003          1.2703892831605831E+003          1.0330198703105717E+001          1.2911458288746362E+001          5.0608636469601367E+002          4.5706168090311144E+002         -4.1270780344300961E-001         -1.0000000000000000E+000          1.9984329181734921E+000          1.5989060784522762E+000         -2.1160607280056610E+001         -7.8418421847028856E+000         -2.1186183541291737E+001         -9.8999999999999986E+001         -2.2403279905263492E+001         -7.8418421847029061E+000         -9.8999999999999986E+001          1.0000000000000000E+000          4.5254174109493732E-014          3.6279641364754823E+053          1.0537969261857173E+040          0.0000000000000000E+000         -4.2228527707449342E+025         -3.6800900793041896E+037          1.0574770162650257E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.5591742229272081E-008          2.6297124509106182E-008 
                              22          7.7540228233210132E+002          2.7655976553756204E+003          1.2704499614850906E+003          1.0329952499799521E+001          1.2911148354052964E+001          5.0611051808609056E+002          4.5708353029457459E+002         -4.1524078241211915E-001         -1.0000000000000000E+000          1.9984325758995531E+000          1.5989060784522762E+000         -2.1459376269740321E+001         -7.8756789790459623E+000         -2.1484952530975448E+001         -9.8999999999999986E+001         -2.2702048894947204E+001         -7.8756789790459729E+000         -9.8999999999999986E+001          1.0000000000000000E+000          2.4588183641449230E-014          3.6280503289137277E+053          1.0624595082480228E+040          0.0000000000000000E+000         -4.2221419051053149E+025         -3.4043337856976890E+037          1.0658638420337248E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.5920789754555131E-008          2.6295239303908571E-008 
                              23          8.0102496313269137E+002          2.7657954600436810E+003          1.2705105010520901E+003          1.0329706844854670E+001          1.2910839254970641E+001          5.0613461749414762E+002          4.5710532850982997E+002         -4.1776448924413506E-001         -1.0000000000000000E+000          1.9984322568626827E+000          1.5989060784522762E+000         -2.1729893147234346E+001         -7.9047836901577160E+000         -2.1755469408469473E+001         -9.8999999999999986E+001         -2.2972565772441229E+001         -7.9047836901577222E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.4103090139195165E-014          3.6281363516085746E+053          1.0638600736262492E+040          0.0000000000000000E+000         -4.2214345844960860E+025         -3.1837418896225251E+037          1.0670438155158759E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.6249037390656358E-008          2.6293358716151005E-008 
                              24          8.2678820207890135E+002          2.7659941238707661E+003          1.2705713045010814E+003          1.0329460107705573E+001          1.2910528925408114E+001          5.0615882307773825E+002          4.5712722064554293E+002         -4.2039664603357613E-001         -1.0000000000000000E+000          1.9984319567166831E+000          1.5989060784522762E+000         -2.2000676143861330E+001         -7.9336679027594927E+000         -2.2026252405096457E+001         -9.8999999999999986E+001         -2.3243348769068213E+001         -7.9336679027594963E+000         -9.8999999999999986E+001          1.0000000000000000E+000          8.0800769667109729E-015          3.6282227737631208E+053          1.0629691507560626E+040          0.0000000000000000E+000         -4.2207291269561954E+025         -2.9789556632234044E+037          1.0659481064192902E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.6595619815940790E-008          2.6291470230841368E-008 
                              25          8.5261896115631021E+002          2.7661927567414755E+003          1.2706320992839721E+003          1.0329213395778600E+001          1.2910218752210545E+001          5.0618302628514601E+002          4.5714910862132325E+002         -4.2315444106965050E-001         -1.0000000000000000E+000          1.9984316758809710E+000          1.5989060784522762E+000         -2.2284324354238958E+001         -7.9636848355054832E+000         -2.2309900615474085E+001         -9.8999999999999986E+001         -2.3526996979445840E+001         -7.9636848355054859E+000         -9.8999999999999986E+001          1.0000000000000000E+000          4.5059277111327031E-015          3.6283092067695172E+053          1.0603237359435689E+040          0.0000000000000000E+000         -4.2200208455200183E+025         -2.7800816317960641E+037          1.0631038175753692E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.6961465666634201E-008          2.6289582310993988E-008 
                              26          8.7839342314202054E+002          2.7663903377814281E+003          1.2706925728831393E+003          1.0328967978075312E+001          1.2909910326671376E+001          5.0620710266357639E+002          4.5717087995556886E+002         -4.2597681331041470E-001         -1.0000000000000000E+000          1.9984314151620630E+000          1.5989060784522762E+000         -2.2583968423559558E+001         -7.9950170799284033E+000         -2.2609544684794685E+001         -9.8999999999999986E+001         -2.3826641048766444E+001         -7.9950170799284050E+000         -9.8999999999999986E+001          1.0000000000000000E+000          2.4292510277143442E-015          3.6283952054995019E+053          1.0573005594316633E+040          0.0000000000000000E+000         -4.2193129129929699E+025         -2.5866385143110276E+037          1.0598871979459785E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.7341171383580367E-008          2.6287704657308613E-008 
                              27          9.0408027517362154E+002          2.7665866302491813E+003          1.2707526527330465E+003          1.0328724150387311E+001          1.2909604013247893E+001          5.0623102325996030E+002          4.5719250858422174E+002         -4.2878951657590952E-001         -1.0000000000000000E+000          1.9984311737495613E+000          1.5989060784522762E+000         -2.2894394107492790E+001         -8.0269511276697916E+000         -2.2919970368727917E+001         -9.8999999999999986E+001         -2.4137066732699672E+001         -8.0269511276697934E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.2793246234817137E-015          3.6284806653242120E+053          1.0542585859326455E+040          0.0000000000000000E+000         -4.2186089591651943E+025         -2.4033225928151305E+037          1.0566619085254648E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.7725288415415902E-008          2.6285839514767137E-008 
                              28          9.2973217763921400E+002          2.7667817016370568E+003          1.2708123592913976E+003          1.0328481832133836E+001          1.2909299698191271E+001          5.0625479611168066E+002          4.5721400197638451E+002         -4.3166642051884063E-001         -1.0000000000000000E+000          1.9984309496273605E+000          1.5989060784522762E+000         -2.3208920297202376E+001         -8.0586347012498560E+000         -2.3234496558437503E+001         -9.8999999999999986E+001         -2.4451592922409258E+001         -8.0586347012498578E+000         -9.8999999999999986E+001          1.0000000000000000E+000          6.6701890456865159E-016          3.6285656128483160E+053          1.0493664581044719E+040          0.0000000000000000E+000         -4.2179098167081653E+025         -2.2342861933462140E+037          1.0516007442978223E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.8123437114371716E-008          2.6283986236934420E-008 
                              29          9.5538844914625133E+002          2.7669760114386108E+003          1.2708718331315556E+003          1.0328240453614344E+001          1.2908996661192283E+001          5.0627847714796621E+002          4.5723541077653573E+002         -4.3446717809303403E-001         -1.0000000000000000E+000          1.9984307415187519E+000          1.5989060784522762E+000         -2.3533429930520647E+001         -8.0909034972733682E+000         -2.3559006191755770E+001         -9.8999999999999986E+001         -2.4776102555727530E+001         -8.0909034972733700E+000         -9.8999999999999986E+001          1.0000000000000000E+000          3.4032770534881232E-016          3.6286502471226635E+053          1.0453188090357782E+040          0.0000000000000000E+000         -4.2172152377405677E+025         -2.0743414470176951E+037          1.0473931504828001E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.8517204797383706E-008          2.6282140454344100E-008 
